id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi_times,roi_currency,roi_percentage
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.0,3768299797,46,,16087101.0,0.0,0.0,0.0,0.0,-77430831.0,-2.0,168285104896.0,168284630857.93,,0.0,-62.0,2020-10-21T11:24:27.820Z,0.0,261.0,2021-03-04T08:11:37.438Z,,2021-12-07T10:45:14.159Z,0.0,0.0,,,
cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,25.0,7057083740,29,,710990474.0,25.0,22.0,2.0,11.0,666558148.0,10.0,283595900.0,,,44.0,-44.0,2021-09-20T00:05:25.062Z,1.0,2045.0,2020-03-13T02:27:44.591Z,,2021-12-07T10:45:14.010Z,-1.0,11.0,248.1435068046331,usd,24814.35068046331
crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,1.0,16538964308,14,,693105966.0,1.0,1.0,0.0,26.0,3286947090.0,25.0,25263013692.0,30263013692.0,,1.0,-32.0,2021-11-24T15:53:54.855Z,0.0,5302.0,2019-02-08T00:00:00.000Z,,2021-12-07T10:45:53.586Z,1.0,26.0,,,
curve-dao-token,crv,Curve DAO Token,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484,4.0,1514101852,87,12759333973.0,353167442.0,4.0,3.0,1.0,18.0,216989920.0,17.0,391958099.0,1645033214.12621,3303030299.0,54.0,-93.0,2020-08-14T04:53:44.010Z,0.0,1065.0,2020-11-05T13:09:50.181Z,,2021-12-07T10:45:41.029Z,-1.0,18.0,,,
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,1.0,8943077415,22,8943077415.0,798608870.0,1.0,1.0,0.0,0.0,92890398.0,1.0,8948639309.0,8948639309.28298,8948639309.28298,1.0,-18.0,2020-03-13T03:02:50.373Z,1.0,11.0,2019-11-25T00:04:18.137Z,,2021-12-07T10:43:20.870Z,0.0,0.0,,,
dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,140.0,1462508112,88,,222605649.0,141.0,123.0,16.0,13.0,162057586.0,12.0,10467879.0,18920000.0,,1494.0,-91.0,2017-12-20T00:00:00.000Z,0.0,65218.0,2014-02-14T00:00:00.000Z,,2021-12-07T10:45:12.702Z,0.0,13.0,,,
decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,4.0,5340140315,36,8826517606.0,1467512022.0,4.0,3.0,1.0,22.0,926353323.0,21.0,1327372146.0,2193963627.32015,2193963627.32015,6.0,-31.0,2021-11-25T10:04:18.534Z,0.0,43455.0,2017-10-31T00:00:00.000Z,,2021-12-07T10:44:54.562Z,-1.0,22.0,199.68339938262474,usd,19968.339938262474
decred,dcr,Decred,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093,96.0,1299151904,96,,15159780.0,99.0,87.0,8.0,10.0,111687983.0,9.0,13564370.0,21000000.0,,247.0,-61.0,2021-04-17T00:41:14.790Z,0.0,22094.0,2016-12-26T00:00:00.000Z,,2021-12-07T10:45:23.679Z,0.0,10.0,,,
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.0,23887881148,11,,1616728678.0,0.0,0.0,0.0,12.0,2424184178.0,11.0,132426963311.0,,,1.0,-75.0,2021-05-08T05:08:23.458Z,0.0,207469.0,2015-05-06T00:00:00.000Z,,2021-12-07T10:45:16.826Z,0.0,12.0,,,
e-radix,exrd,e-Radix,https://assets.coingecko.com/coins/images/13145/large/exrd_logo.png?1605662677,0.0,1271315784,100,7704944144.0,13024874.0,0.0,0.0,0.0,18.0,208250027.0,20.0,3960000000.0,,24000000000.0,1.0,-51.0,2021-11-14T16:24:07.330Z,0.0,468.0,2020-11-25T11:31:13.036Z,,2021-12-07T10:45:50.045Z,-1.0,18.0,,,
ecash,xec,eCash,https://assets.coingecko.com/coins/images/16646/large/Logo_final-22.png?1628239446,0.0,2591659079,66,2877014054.0,147450703.0,0.0,0.0,0.0,16.0,398715984.0,18.0,18917127146789.0,21000000000000.0,21000000000000.0,0.0,-64.0,2021-09-04T17:09:31.137Z,0.0,642.0,2021-07-20T20:49:46.212Z,,2021-12-07T10:45:31.579Z,1.0,16.0,,,
